Optimizer,Loss Score,Sparsity Score,Stability Score,Convergence Score,OVERALL SCORE
stable-spam,98.82624213971047,100.0,0.0,100.0,79.58918474889866
adafactor,98.81871161661041,96.96461564251983,3.961250804389238,98.5102876362615,79.16744346519957
lion,95.94620386232602,97.64760754204256,2.0881242552981294,84.02666551585797,76.57812539417442
adam-mini,88.12385095870712,93.63246953373212,1.1965031549961758,95.5342123575638,73.40743403910935
adabelief,100.0,64.52734037932812,5.363880347625194,80.47945151118218,66.7052903534081
adagrad,82.51671550898013,81.18191639530161,6.080472551393578,53.43795731767826,63.85441140854515
came,58.878114615540866,96.49386404489776,3.1697259127381305,0.0,55.01413771370114
lamb,83.67303761324916,43.43864644096422,11.76980519997638,69.72084005685636,53.8151344646556
sgd,78.25861598582185,41.71088255444319,2.6240211263686586,66.44757959163087,49.15888667352958
spam,16.78841501976054,92.63319348510801,4.931094296497818,64.92116126189332,45.775897962192886
galore,16.04601707793376,92.1885770510031,4.9262710001164,64.93790040009108,45.361152185160286
adam,16.825391944631786,87.434053594625,4.376820484368449,60.952792899672815,43.46144932558084
adamem,8.28165605701814,87.91812255490787,4.796967711720123,68.82555837560474,41.5118718940786
adamw,8.277357097797145,87.91694160549528,4.796919599253235,68.82591670178554,41.50998013618155
8bit,8.15680997248862,87.89412981361433,4.448521556072837,68.75454407186888,41.38298764353748
adadelta,45.123207779568986,0.0,100.0,44.27754347200178,40.220877070049326
rmsprop,0.0,49.55052431720395,4.5325581778012385,77.3429605587223,25.983491202453855
